Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,Median_n_Closest_SalePrice
1,60,rl,65.0,8450,pave,no_alley_access,reg,lvl,allpub,inside,gtl,collgcr,norm,norm,1fam,2story,7,5,2003,2003,gable,compshg,vinylsd,vinylsd,brkface,196.0,gd,ta,pconc,gd,ta,no,glq,706.0,unf,0.0,150.0,856.0,gasa,ex,y,sbrkr,856,854,0,1710,1.0,0.0,2,1,3,1,gd,8,typ,0,,attchd,2003.0,rfn,2.0,548.0,ta,ta,y,0,61,0,0,0,0,unknown,,unknown,0,2,2008,wd,normal,208500.0,187950.0
2,20,rl,80.0,9600,pave,no_alley_access,reg,lvl,allpub,fr2,gtl,veenker,feedr,norm,1fam,1story,6,8,1976,1976,gable,compshg,metalsd,metalsd,unknown,0.0,ta,ta,cblock,gd,ta,gd,alq,978.0,unf,0.0,284.0,1262.0,gasa,ex,y,sbrkr,1262,0,0,1262,0.0,1.0,2,0,3,1,ta,6,typ,1,ta,attchd,1976.0,rfn,2.0,460.0,ta,ta,y,298,0,0,0,0,0,unknown,,unknown,0,5,2007,wd,normal,181500.0,187000.0
3,60,rl,68.0,11250,pave,no_alley_access,ir1,lvl,allpub,inside,gtl,collgcr,norm,norm,1fam,2story,7,5,2001,2002,gable,compshg,vinylsd,vinylsd,brkface,162.0,gd,ta,pconc,gd,ta,mn,glq,486.0,unf,0.0,434.0,920.0,gasa,ex,y,sbrkr,920,866,0,1786,1.0,0.0,2,1,3,1,gd,6,typ,1,ta,attchd,2001.0,rfn,2.0,608.0,ta,ta,y,0,42,0,0,0,0,unknown,,unknown,0,9,2008,wd,normal,223500.0,209500.0
4,70,rl,60.0,9550,pave,no_alley_access,ir1,lvl,allpub,corner,gtl,crawfor,norm,norm,1fam,2story,7,5,1915,1970,gable,compshg,wd sdng,wd shng,unknown,0.0,ta,ta,brktil,ta,gd,no,alq,216.0,unf,0.0,540.0,756.0,gasa,gd,y,sbrkr,961,756,0,1717,1.0,0.0,1,0,3,1,gd,7,typ,1,gd,detchd,1998.0,unf,3.0,642.0,ta,ta,y,0,35,272,0,0,0,unknown,,unknown,0,2,2006,wd,abnorml,140000.0,171000.0
5,60,rl,84.0,14260,pave,no_alley_access,ir1,lvl,allpub,fr2,gtl,noridge,norm,norm,1fam,2story,8,5,2000,2000,gable,compshg,vinylsd,vinylsd,brkface,350.0,gd,ta,pconc,gd,ta,av,glq,655.0,unf,0.0,490.0,1145.0,gasa,ex,y,sbrkr,1145,1053,0,2198,1.0,0.0,2,1,4,1,gd,9,typ,1,ta,attchd,2000.0,rfn,3.0,836.0,ta,ta,y,192,84,0,0,0,0,unknown,,unknown,0,12,2008,wd,normal,250000.0,275750.0
6,50,rl,85.0,14115,pave,no_alley_access,ir1,lvl,allpub,inside,gtl,mitchel,norm,norm,1fam,1.5fin,5,5,1993,1995,gable,compshg,vinylsd,vinylsd,unknown,0.0,ta,ta,wood,gd,ta,no,glq,732.0,unf,0.0,64.0,796.0,gasa,ex,y,sbrkr,796,566,0,1362,1.0,0.0,1,1,1,1,ta,5,typ,0,,attchd,1993.0,unf,2.0,480.0,ta,ta,y,40,30,0,320,0,0,unknown,mnprv,shed,700,10,2009,wd,normal,143000.0,134250.0
7,20,rl,75.0,10084,pave,no_alley_access,reg,lvl,allpub,inside,gtl,somerst,norm,norm,1fam,1story,8,5,2004,2005,gable,compshg,vinylsd,vinylsd,stone,186.0,gd,ta,pconc,ex,ta,av,glq,1369.0,unf,0.0,317.0,1686.0,gasa,ex,y,sbrkr,1694,0,0,1694,1.0,0.0,2,0,3,1,gd,7,typ,1,gd,attchd,2004.0,rfn,2.0,636.0,ta,ta,y,255,57,0,0,0,0,unknown,,unknown,0,8,2007,wd,normal,307000.0,255000.0
8,60,rl,,10382,pave,no_alley_access,ir1,lvl,allpub,corner,gtl,nwames,posn,norm,1fam,2story,7,6,1973,1973,gable,compshg,hdboard,hdboard,stone,240.0,ta,ta,cblock,gd,ta,mn,alq,859.0,blq,32.0,216.0,1107.0,gasa,ex,y,sbrkr,1107,983,0,2090,1.0,0.0,2,1,3,1,ta,7,typ,2,ta,attchd,1973.0,rfn,2.0,484.0,ta,ta,y,235,204,228,0,0,0,unknown,,shed,350,11,2009,wd,normal,200000.0,175500.0
9,50,rm,51.0,6120,pave,no_alley_access,reg,lvl,allpub,inside,gtl,oldtown,artery,norm,1fam,1.5fin,7,5,1931,1950,gable,compshg,brkface,wd shng,unknown,0.0,ta,ta,brktil,ta,ta,no,unf,0.0,unf,0.0,952.0,952.0,gasa,gd,y,fusef,1022,752,0,1774,0.0,0.0,2,0,2,2,ta,8,min1,2,ta,detchd,1931.0,unf,2.0,468.0,fa,ta,y,90,0,205,0,0,0,unknown,,unknown,0,4,2008,wd,abnorml,129900.0,119750.0
10,190,rl,50.0,7420,pave,no_alley_access,reg,lvl,allpub,corner,gtl,brkside,artery,artery,2fmcon,1.5unf,5,6,1939,1950,gable,compshg,metalsd,metalsd,unknown,0.0,ta,ta,brktil,ta,ta,no,glq,851.0,unf,0.0,140.0,991.0,gasa,ex,y,sbrkr,1077,0,0,1077,1.0,0.0,1,0,2,2,ta,5,typ,2,ta,attchd,1939.0,rfn,1.0,205.0,gd,ta,y,0,4,0,0,0,0,unknown,,unknown,0,1,2008,wd,normal,118000.0,110000.0
