FireplaceQu,LotShape,LandSlope,OverallQual,OverallCond,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,HeatingQC,KitchenQual,Functional,GarageFinish,GarageQual,GarageCond,PavedDrive,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,Foundation,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,Longitude,Latitude,Median_n_Closest_SalePrice
3.0,3.0,1.0,0.0,4.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,5.0,3.0,1.0,4.0,0.0,2217,20,a,80,14584,no_alley_access,low,inside,idotrr,norm,1fam,1story,1952,1952,gable,asbshng,vinylsd,none,0,slab,no_basement,0,no_basement,0,0,0,wall,n,fusea,733,0,0,733,0,0,1,0,2,1,4,0,attchd,1952.0,2,487,0,0,0,0,0,0,no_fence,none,0,2,2008,wd,abnorml,,-93.62521362304688,42.01880645751953,115000.0
3.0,3.0,0.0,0.0,2.0,3.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,1.0,5.0,0.0,2905,20,a,125,31250,no_alley_access,lvl,inside,mitchel,artery,1fam,1story,1951,1951,gable,cblock,vinylsd,none,0,cblock,no_basement,0,no_basement,0,0,0,gasa,y,fusea,1600,0,0,1600,0,0,1,1,3,1,6,0,attchd,1951.0,1,270,0,0,135,0,0,0,no_fence,none,0,5,2006,wd,normal,,-93.61026763916016,41.99222183227539,139000.0
3.0,3.0,0.0,1.0,2.0,3.0,4.0,4.0,5.0,0.0,4.0,3.0,7.0,3.0,5.0,5.0,2.0,917,20,c,50,9000,no_alley_access,lvl,inside,idotrr,norm,1fam,1story,1949,1950,gable,asbshng,asbshng,none,0,cblock,blq,50,unf,0,430,480,gasa,n,fusea,480,0,0,480,1,0,0,0,1,1,4,0,detchd,1958.0,1,308,0,0,0,0,0,0,no_fence,none,0,10,2006,wd,abnorml,35311.0,-93.6150131225586,42.019100189208984,117250.0
3.0,3.0,0.0,3.0,5.0,3.0,4.0,4.0,5.0,3.0,2.0,3.0,7.0,3.0,5.0,5.0,2.0,2581,20,c,65,6565,no_alley_access,lvl,corner,idotrr,norm,1fam,1story,1957,1980,gable,metalsd,metalsd,none,0,cblock,glq,967,unf,0,106,1073,gasa,y,fusea,1073,0,0,1073,1,0,1,0,3,1,6,0,detchd,1985.0,2,720,0,444,0,0,0,0,no_fence,none,0,8,2007,wd,abnorml,,-93.61506652832031,42.02142333984375,120500.0
3.0,3.0,1.0,4.0,4.0,1.0,4.0,4.0,5.0,0.0,4.0,1.0,7.0,3.0,5.0,5.0,0.0,813,20,c,66,8712,no_alley_access,bnk,inside,idotrr,norm,1fam,1story,1952,1952,hip,wd sdng,wd sdng,none,0,cblock,unf,0,unf,0,540,540,gasa,n,fusea,1044,0,0,1044,0,0,1,0,2,1,4,0,basment,1952.0,2,504,0,0,0,0,0,0,no_fence,shed,54,6,2010,wd,alloca,55993.0,-93.60826873779297,42.02132797241211,124900.0
2.0,0.0,0.0,7.0,4.0,2.0,4.0,0.0,4.0,3.0,0.0,2.0,7.0,2.0,5.0,5.0,2.0,1503,20,fv,57,12853,pave,lvl,inside,somerst,norm,1fam,1story,2010,2010,gable,cemntbd,cemntbd,none,0,pconc,glq,1032,unf,0,610,1642,gasa,y,sbrkr,1418,0,0,1418,1,0,1,1,1,1,6,1,attchd,2010.0,3,852,160,192,0,224,0,0,no_fence,none,0,4,2010,new,partial,,-93.64125061035156,42.04703140258789,177250.0
5.0,0.0,0.0,7.0,4.0,2.0,4.0,2.0,5.0,3.0,0.0,2.0,7.0,2.0,5.0,5.0,2.0,2718,20,fv,60,7180,pave,lvl,inside,somerst,norm,1fam,1story,2001,2002,gable,cemntbd,cemntbd,none,0,pconc,unf,0,unf,0,1568,1568,gasa,y,sbrkr,1568,0,0,1568,0,0,2,0,3,1,6,1,attchd,2001.0,2,564,0,266,0,0,0,0,no_fence,none,0,9,2006,wd,normal,,-93.64114379882812,42.046417236328125,176000.0
3.0,3.0,0.0,5.0,4.0,2.0,4.0,2.0,5.0,3.0,2.0,2.0,7.0,0.0,5.0,5.0,2.0,282,20,fv,60,7200,pave,lvl,inside,somerst,norm,1fam,1story,2006,2006,gable,vinylsd,vinylsd,stone,68,pconc,glq,905,unf,0,357,1262,gasa,y,sbrkr,1262,0,0,1262,0,0,2,0,2,1,5,0,attchd,2006.0,2,572,0,120,0,0,0,0,no_fence,none,0,5,2006,new,partial,185000.0,-93.64317321777344,42.051246643066406,244600.0
2.0,3.0,0.0,6.0,4.0,2.0,4.0,2.0,2.0,3.0,0.0,2.0,7.0,2.0,5.0,5.0,2.0,382,20,fv,60,7200,pave,lvl,inside,somerst,norm,1fam,1story,2006,2006,gable,vinylsd,vinylsd,none,0,pconc,unf,0,unf,0,1293,1293,gasa,y,sbrkr,1301,0,0,1301,1,0,2,0,2,1,5,1,attchd,2006.0,2,572,216,121,0,0,0,0,no_fence,none,0,8,2006,new,partial,187750.0,-93.64397430419922,42.05122375488281,244600.0
3.0,3.0,0.0,6.0,4.0,2.0,4.0,2.0,5.0,3.0,0.0,2.0,7.0,2.0,5.0,5.0,2.0,1455,20,fv,62,7500,pave,lvl,inside,somerst,norm,1fam,1story,2004,2005,gable,vinylsd,vinylsd,none,0,pconc,glq,410,unf,0,811,1221,gasa,y,sbrkr,1221,0,0,1221,1,0,2,0,2,1,6,0,attchd,2004.0,2,400,0,113,0,0,0,0,no_fence,none,0,10,2009,wd,normal,185000.0,-93.64312744140625,42.051246643066406,244600.0
5.0,3.0,0.0,6.0,4.0,2.0,4.0,2.0,5.0,3.0,0.0,2.0,7.0,3.0,5.0,5.0,2.0,526,20,fv,62,7500,pave,lvl,inside,somerst,norm,1fam,1story,2005,2005,gable,vinylsd,vinylsd,none,0,pconc,unf,0,unf,0,1257,1257,gasa,y,sbrkr,1266,0,0,1266,0,0,2,0,3,1,6,1,attchd,2005.0,2,453,38,144,0,0,0,0,no_fence,none,0,4,2006,wd,normal,176000.0,-93.64385986328125,42.05122375488281,244600.0
