Id,MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,Longitude,Latitude,Median_n_Closest_SalePrice
2217,20,a,80.0,14584,no_alley_access,reg,low,inside,mod,idotrr,norm,1fam,1story,1,5,1952,1952,gable,asbshng,vinylsd,none,0.0,fa,po,slab,no_basement,no_basement,no_basement,no_basement,0.0,no_basement,0.0,0.0,0.0,wall,po,n,fusea,733,0,0,733,0.0,0.0,1,0,2,1,fa,4,sal,0,0,attchd,1952.0,unf,2.0,487.0,fa,po,n,0,0,0,0,0,0,no_fence,none,0,2,2008,wd,abnorml,,-93.625217,42.018806,106500.0
2905,20,a,125.0,31250,no_alley_access,reg,lvl,inside,gtl,mitchel,artery,1fam,1story,1,3,1951,1951,gable,cblock,vinylsd,none,0.0,ta,fa,cblock,no_basement,no_basement,no_basement,no_basement,0.0,no_basement,0.0,0.0,0.0,gasa,ta,y,fusea,1600,0,0,1600,0.0,0.0,1,1,3,1,ta,6,mod,0,0,attchd,1951.0,unf,1.0,270.0,fa,ta,n,0,0,135,0,0,0,no_fence,none,0,5,2006,wd,normal,,-93.610268,41.99222,140000.0
917,20,c,50.0,9000,no_alley_access,reg,lvl,inside,gtl,idotrr,norm,1fam,1story,2,3,1949,1950,gable,asbshng,asbshng,none,0.0,ta,ta,cblock,ta,ta,av,blq,50.0,unf,0.0,430.0,480.0,gasa,ta,n,fusea,480,0,0,480,1.0,0.0,0,0,1,1,ta,4,typ,0,0,detchd,1958.0,unf,1.0,308.0,ta,ta,y,0,0,0,0,0,0,no_fence,none,0,10,2006,wd,abnorml,35311.0,-93.615012,42.019099,108000.0
2581,20,c,65.0,6565,no_alley_access,reg,lvl,corner,gtl,idotrr,norm,1fam,1story,4,6,1957,1980,gable,metalsd,metalsd,none,0.0,ta,ta,cblock,ta,ta,no,glq,967.0,unf,0.0,106.0,1073.0,gasa,gd,y,fusea,1073,0,0,1073,1.0,0.0,1,0,3,1,ta,6,typ,0,0,detchd,1985.0,unf,2.0,720.0,ta,ta,y,0,444,0,0,0,0,no_fence,none,0,8,2007,wd,abnorml,,-93.6150637,42.0214218,54200.0
813,20,c,66.0,8712,no_alley_access,reg,bnk,inside,mod,idotrr,norm,1fam,1story,5,5,1952,1952,hip,wd sdng,wd sdng,none,0.0,fa,ta,cblock,ta,ta,av,unf,0.0,unf,0.0,540.0,540.0,gasa,ta,n,fusea,1044,0,0,1044,0.0,0.0,1,0,2,1,fa,4,typ,0,0,basment,1952.0,unf,2.0,504.0,ta,ta,n,0,0,0,0,0,0,no_fence,shed,54,6,2010,wd,alloca,55993.0,-93.608271,42.021327,68838.0
1503,20,fv,57.0,12853,pave,ir1,lvl,inside,gtl,somerst,norm,1fam,1story,8,5,2010,2010,gable,cemntbd,cemntbd,none,0.0,gd,ta,pconc,ex,po,no,glq,1032.0,unf,0.0,610.0,1642.0,gasa,ex,y,sbrkr,1418,0,0,1418,1.0,0.0,1,1,1,1,gd,6,typ,1,gd,attchd,2010.0,rfn,3.0,852.0,ta,ta,y,160,192,0,224,0,0,no_fence,none,0,4,2010,new,partial,,-93.641253,42.0470316,173250.0
2718,20,fv,60.0,7180,pave,ir1,lvl,inside,gtl,somerst,norm,1fam,1story,8,5,2001,2002,gable,cemntbd,cemntbd,none,0.0,gd,ta,pconc,gd,ta,no,unf,0.0,unf,0.0,1568.0,1568.0,gasa,ex,y,sbrkr,1568,0,0,1568,0.0,0.0,2,0,3,1,gd,6,typ,1,ta,attchd,2001.0,rfn,2.0,564.0,ta,ta,y,0,266,0,0,0,0,no_fence,none,0,9,2006,wd,normal,,-93.64114,42.046416,239000.0
282,20,fv,60.0,7200,pave,reg,lvl,inside,gtl,somerst,norm,1fam,1story,6,5,2006,2006,gable,vinylsd,vinylsd,stone,68.0,gd,ta,pconc,gd,ta,no,glq,905.0,unf,0.0,357.0,1262.0,gasa,gd,y,sbrkr,1262,0,0,1262,0.0,0.0,2,0,2,1,gd,5,typ,0,0,attchd,2006.0,fin,2.0,572.0,ta,ta,y,0,120,0,0,0,0,no_fence,none,0,5,2006,new,partial,185000.0,-93.643173,42.051245,197000.0
382,20,fv,60.0,7200,pave,reg,lvl,inside,gtl,somerst,norm,1fam,1story,7,5,2006,2006,gable,vinylsd,vinylsd,none,0.0,gd,ta,pconc,gd,gd,no,unf,0.0,unf,0.0,1293.0,1293.0,gasa,ex,y,sbrkr,1301,0,0,1301,1.0,0.0,2,0,2,1,gd,5,typ,1,gd,attchd,2006.0,rfn,2.0,572.0,ta,ta,y,216,121,0,0,0,0,no_fence,none,0,8,2006,new,partial,187750.0,-93.643977,42.051224,190975.0
1455,20,fv,62.0,7500,pave,reg,lvl,inside,gtl,somerst,norm,1fam,1story,7,5,2004,2005,gable,vinylsd,vinylsd,none,0.0,gd,ta,pconc,gd,ta,no,glq,410.0,unf,0.0,811.0,1221.0,gasa,ex,y,sbrkr,1221,0,0,1221,1.0,0.0,2,0,2,1,gd,6,typ,0,0,attchd,2004.0,rfn,2.0,400.0,ta,ta,y,0,113,0,0,0,0,no_fence,none,0,10,2009,wd,normal,185000.0,-93.643131,42.051247,197000.0
